Model,Language,Factual_consistency,Coherence,Similarity
google_gemma-2-2b-it,Kannada,6.351219512195122,6.614634146341463,5.995121951219512
meta-llama_Llama-3.2-1B-Instruct,Nepali,4.351219512195122,4.878048780487805,4.092682926829268
HuggingFaceTB_SmolLM3-3B,Kashmiri,5.5588235294117645,5.647058823529412,5.318627450980392
google_gemma-3-4b-it,Urdu,5.294117647058823,5.367647058823529,5.0245098039215685
Qwen_Qwen3-4B-Instruct-2507,Telugu,4.4487804878048784,4.819512195121951,4.336585365853659
Qwen_Qwen3-4B-Instruct-2507,Marathi,5.585365853658536,6.004878048780488,4.8
meta-llama_Llama-3.2-1B-Instruct,Kannada,5.4975609756097565,6.117073170731707,5.365853658536586
HuggingFaceTB_SmolLM3-3B,Santali,5.692682926829268,6.121951219512195,5.146341463414634
meta-llama_Llama-3.2-1B-Instruct,Urdu,3.5294117647058822,3.5686274509803924,3.3480392156862746
sarvamai_sarvam-1,Hindi,4.431372549019608,4.6911764705882355,4.3088235294117645
google_gemma-2-2b-it,Assamese,7.6568627450980395,7.931372549019608,7.284313725490196
HuggingFaceTB_SmolLM3-3B,Tamil,5.014634146341463,5.126829268292683,4.64390243902439
HuggingFaceTB_SmolLM3-3B,Manipuri,7.049019607843137,7.044117647058823,6.862745098039215
Qwen_Qwen3-4B-Instruct-2507,Manipuri,7.161764705882353,7.352941176470588,6.715686274509804
Qwen_Qwen3-4B-Instruct-2507,Nepali,4.678048780487805,4.824390243902439,4.517073170731707
HuggingFaceTB_SmolLM3-3B,Konkani,4.945812807881773,5.226600985221675,4.916256157635468
sarvamai_sarvam-1,Bengali,6.799019607843137,6.799019607843137,6.181372549019608
Qwen_Qwen3-4B-Instruct-2507,Urdu,5.170731707317073,5.360975609756098,4.878048780487805
sarvamai_sarvam-1,Bodo,4.595121951219512,4.507317073170731,4.419512195121952
sarvamai_sarvam-1,Tamil,2.546341463414634,2.926829268292683,2.44390243902439
meta-llama_Llama-3.2-1B-Instruct,Sindhi,4.264705882352941,4.411764705882353,4.107843137254902
google_gemma-3-4b-it,Assamese,7.624390243902439,7.84390243902439,7.4
sarvamai_sarvam-1,Dogri,4.465686274509804,5.088235294117647,4.519607843137255
google_gemma-2-2b-it,Maithili,6.180487804878049,6.390243902439025,5.88780487804878
HuggingFaceTB_SmolLM3-3B,Malayalam,5.259803921568627,5.485294117647059,5.102941176470588
Qwen_Qwen3-4B-Instruct-2507,Santali,3.4926829268292683,3.7853658536585364,3.0878048780487806
google_gemma-3-4b-it,Manipuri,6.541463414634146,6.53170731707317,6.058536585365854
sarvamai_sarvam-1,Urdu,2.604878048780488,2.8878048780487804,2.546341463414634
meta-llama_Llama-3.2-1B-Instruct,Maithili,4.365853658536586,4.595121951219512,4.278048780487805
google_gemma-2-2b-it,Manipuri,5.990243902439024,6.0,5.668292682926829
HuggingFaceTB_SmolLM3-3B,Telugu,3.8536585365853657,4.224390243902439,3.6878048780487807
